Date,TRBCX
1996-05-13,12.64097611
1996-05-14,12.72489114
1996-05-15,12.74015435
1996-05-16,12.74778233
1996-05-17,12.77066627
1996-05-20,12.83932533
1996-05-21,12.82406937
1996-05-22,12.91561238
1996-05-23,12.90035642
1996-05-24,12.94613155
1996-05-28,12.82406937
1996-05-29,12.74778233
1996-05-30,12.81644139
1996-05-31,12.79355021
1996-06-03,12.77066627
1996-06-04,12.84695332
1996-06-05,12.94613155
1996-06-06,12.87747248
1996-06-07,12.84695332
1996-06-10,12.82406937
1996-06-11,12.81644139
1996-06-12,12.83169735
1996-06-13,12.81644139
1996-06-14,12.78592223
1996-06-17,12.76303829
1996-06-18,12.67912326
1996-06-19,12.65623207
1996-06-20,12.57994503
1996-06-21,12.67149528
1996-06-24,12.71726316
1996-06-25,12.71726316
1996-06-26,12.65623207
1996-06-27,12.71726316
1996-06-28,12.80881341
1996-07-01,12.92324036
1996-07-02,12.90035642
1996-07-03,12.8698445
1996-07-05,12.64097611
1996-07-08,12.52654192
1996-07-09,12.55706108
1996-07-10,12.5494331
1996-07-11,12.33582068
1996-07-12,12.3281927
1996-07-15,12.06118441
1996-07-16,12.00015332
1996-07-17,12.18324658
1996-07-18,12.41211497
1996-07-19,12.34344866
1996-07-22,12.25190565
1996-07-23,12.13747145
1996-07-24,12.11458751
1996-07-25,12.25190565
1996-07-26,12.38922378
1996-07-29,12.33582068
1996-07-30,12.3815958
1996-07-31,12.45788285
1996-08-01,12.64860409
1996-08-02,12.88510046
1996-08-05,12.83169735
1996-08-06,12.90035642
1996-08-07,12.97664347
1996-08-08,12.96901549
1996-08-09,12.96138751
1996-08-12,12.99953466
1996-08-13,12.9079844
1996-08-14,12.96138751
1996-08-15,12.99953466
1996-08-16,13.03004658
1996-08-19,13.03004658
1996-08-20,13.00716264
1996-08-21,13.0224186
1996-08-22,13.14448077
1996-08-23,13.11396161
1996-08-26,13.0758217
1996-08-27,13.10633363
1996-08-28,13.12158959
1996-08-29,13.00716264
1996-08-30,12.9079844
1996-09-03,12.96138751
1996-09-04,12.98427145
1996-09-05,12.90035642
1996-09-06,12.99953466
1996-09-09,13.09870564
1996-09-10,13.13685279
1996-09-11,13.19788388
1996-09-12,13.28179891
1996-09-13,13.45726419
1996-09-16,13.51066729
1996-09-17,13.49540409
1996-09-18,13.47252015
1996-09-19,13.48777611
1996-09-20,13.56406316
1996-09-23,13.5488072
1996-09-24,13.57169114
1996-09-25,13.60983828
1996-09-26,13.70901652
1996-09-27,13.69375331
1996-09-30,13.7166445
1996-10-01,13.74715642
1996-10-02,13.84633465
1996-10-03,13.83870667
1996-10-04,13.99128077
1996-10-07,13.97602481
1996-10-08,13.90736574
1996-10-09,13.83870667
1996-10-10,13.80818751
1996-10-11,13.89973776
1996-10-14,13.9607616
1996-10-15,13.94550564
1996-10-16,13.93024968
1996-10-17,13.97602481
1996-10-18,14.02179269
1996-10-21,13.99890875
1996-10-22,13.90736574
1996-10-23,13.87684657
1996-10-24,13.83107145
1996-10-25,13.80055953
1996-10-28,13.72427248
1996-10-29,13.7547844
1996-10-30,13.76241238
1996-10-31,13.88447455
1996-11-01,13.89973776
1996-11-04,13.94550564
1996-11-05,14.09045176
1996-11-06,14.32694813
1996-11-07,14.38035123
1996-11-08,14.41849838
1996-11-11,14.43375434
1996-11-12,14.42612636
1996-11-13,14.46426626
1996-11-14,14.53292533
1996-11-15,14.54818853
1996-11-18,14.52529735
1996-11-19,14.60921238
1996-11-20,14.64735952
1996-11-21,14.6015844
1996-11-22,14.73127455
1996-11-25,14.87622791
1996-11-26,14.87622791
1996-11-27,14.86096471
1996-11-29,14.89148387
1996-12-02,14.89148387
1996-12-03,14.80756884
1996-12-04,14.73890253
1996-12-05,14.70839061
1996-12-06,14.6549875
1996-12-09,14.81519682
1996-12-10,14.79230564
1996-12-11,14.66261548
1996-12-12,14.50241341
1996-12-13,14.44138232
1996-12-16,14.28880822
1996-12-17,14.34983207
1996-12-18,14.48715745
1996-12-19,14.70076263
1996-12-20,14.75416574
1996-12-23,14.71601859
1996-12-24,14.77704968
1996-12-26,14.83045278
1996-12-27,14.84570875
1996-12-30,14.85342365
1996-12-31,14.70681865
1997-01-02,14.55249874
1997-01-03,14.74540044
1997-01-06,14.76083026
1997-01-07,14.83027893
1997-01-08,14.76083026
1997-01-09,14.86886072
1997-01-10,14.93058723
1997-01-13,14.92287232
1997-01-14,15.05404026
1997-01-15,15.03089554
1997-01-16,15.10805911
1997-01-17,15.23151215
1997-01-20,15.28552375
1997-01-21,15.33953536
1997-01-22,15.38583206
1997-01-23,15.29323866
1997-01-24,15.15434857
1997-01-27,15.03089554
1997-01-28,15.05404026
1997-01-29,15.12348893
1997-01-30,15.29323866
1997-01-31,15.35497242
1997-02-03,15.33953536
1997-02-04,15.37811715
1997-02-05,15.19293036
1997-02-06,15.23922705
1997-02-07,15.39354697
1997-02-10,15.28552375
1997-02-11,15.30867572
1997-02-12,15.54787412
1997-02-13,15.74077582
1997-02-14,15.71762385
1997-02-18,15.79478743
